lead_id,company_name,interested_product,sales_stage,account_manager
L001,Axis Bank,MedSense AI,Negotiation,Rohit Kumar 2
L002,HDFC Bank,PayGuard AI,Closed Won,Rohit Kumar 3
L003,ICICI Bank,DataLens Analytics,Closed Lost,Rohit Kumar 4
L004,SBI,HealthWave AI,Prospecting,Rohit Kumar 5
L005,Kotak Mahindra Bank,LoanPredict AI,Negotiation,Rohit Kumar 6
L006,Yes Bank,InsightViz Analytics,Closed Won,Rohit Kumar 7
L007,IndusInd Bank,SecureRisk Suite,Closed Lost,Rohit Kumar 8
L008,PNB,CareAssist AI,Prospecting,Rohit Kumar 9
L009,IDBI Bank,TradeFlow AI,Negotiation,Rohit Kumar 10
L010,Axis Bank,DeepAnalytics Pro,Closed Won,Rohit Kumar 11
L011,Aditya Birla Finance,RiskGuardian AI,Closed Lost,Rohit Kumar 12
L012,Bajaj Finserv,HealthGuard AI,Prospecting,Rohit Kumar 13
L013,Mahindra Finance,FinTrack AI,Negotiation,Rohit Kumar 14
L014,Tata Capital,AnalyticsX Suite,Closed Won,Rohit Kumar 15
L015,Fullerton India,RiskIQ Platform,Closed Lost,Rohit Kumar 16
L016,PhonePe,MedAI Care,Prospecting,Rohit Kumar 17
L017,Google India,PaySmart AI,Negotiation,Rohit Kumar 18
L018,Amazon India,VisionAnalytics,Closed Won,Rohit Kumar 19
L019,Flipkart,ClinicAI Suite,Closed Lost,Rohit Kumar 20
L020,Swiggy,FinanceGuard AI,Prospecting,Rohit Kumar 21
L021,Zomato,AnalyticsPro Plus,Negotiation,Rohit Kumar 22
L022,Paytm,HealthIntel AI,Closed Won,Rohit Kumar 23
L023,PhonePe,FinOps AI,Closed Lost,Rohit Kumar 24
L024,Amazon Pay,SmartAnalytics AI,Prospecting,Rohit Kumar 25
L025,Google Pay,RiskAlert Pro,Negotiation,Rohit Kumar 26
L026,IBM India,MedInsight AI,Closed Won,Rohit Kumar 27
L027,Microsoft India,FinWise AI,Closed Lost,Rohit Kumar 28
L028,Accenture India,AnalyticsEdge,Prospecting,Rohit Kumar 29
L029,TCS, RiskAnalytics AI,Negotiation,Rohit Kumar 30
L030,Infosys,RiskSense AI,Closed Won,Rohit Kumar 31
L031,Wipro,RiskPredict AI,Closed Lost,Rohit Kumar 32
L032,Capgemini,HealthAI Guardian,Prospecting,Rohit Kumar 33
L033,Cognizant,FinRisk AI,Negotiation,Rohit Kumar 34
L034,Deloitte,AnalyticsCloud,Closed Won,Rohit Kumar 35
L035,PwC,RiskX Pro,Closed Lost,Rohit Kumar 36
L036,KPMG,HealthFlow AI,Prospecting,Rohit Kumar 37
L037,Oracle India,FinServe AI,Negotiation,Rohit Kumar 38
L038,Salesforce India,DataSmart Analytics,Closed Won,Rohit Kumar 39
L039,SAP India,RiskOps AI,Closed Lost,Rohit Kumar 40
L040,Adobe India,HealthCare AI Suite,Prospecting,Rohit Kumar 41
L041,Netflix India,FinAI Insights,Negotiation,Rohit Kumar 42
L042,Disney+ Hotstar,DataX Analytics,Closed Won,Rohit Kumar 43
L043,Byju's,RiskMonitor AI,Closed Lost,Rohit Kumar 44
L044,Unacademy,RiskControl Pro,Prospecting,Rohit Kumar 45
L045,Vedantu,HealthOps AI,Negotiation,Rohit Kumar 46
L046,UpGrad,FinAI Insights,Closed Won,Rohit Kumar 47
L047,Cred,DataLens Analytics,Closed Lost,Rohit Kumar 48
L048,PhonePe,AnalyticsX Suite,Prospecting,Rohit Kumar 49
L049,Google Cloud,DataVision Pro,Negotiation,Rohit Kumar 50
L050,Haricorp Tech,HealthCare AI Suite,Closed Won,Rohit Kumar 51
